date,close,volume,open,low,high
2019-04-16 11:10:00,20.02,3305,20.02,20.02,20.02
2019-04-16 11:09:00,20.03,6047,20.03,20.03,20.03
2019-04-16 11:08:00,20.02,2112,20.02,20.02,20.02
2019-04-16 11:07:00,20.02,750,20.02,20.02,20.02
2019-04-16 11:06:00,20.02,8207,20.02,20.02,20.02
2019-04-16 11:05:00,20.02,2758,20.01,20.01,20.02
2019-04-16 11:03:00,20.02,17129,20.03,20.02,20.03
2019-04-16 11:02:00,20.02,700,20.02,20.02,20.02
2019-04-16 11:01:00,20.02,11063,20.02,20.02,20.02
2019-04-16 10:58:00,20.02,7607,20.03,20.02,20.03
2019-04-16 10:57:00,20.04,3516,20.04,20.04,20.04
2019-04-16 10:56:00,20.04,2003,20.03,20.03,20.04
2019-04-16 10:54:00,20.04,472,20.04,20.04,20.04
2019-04-16 10:50:00,20.04,15302,20.04,20.03,20.04
2019-04-16 10:49:00,20.05,2000,20.05,20.05,20.05
2019-04-16 10:47:00,20.05,6540,20.05,20.05,20.05
2019-04-16 10:45:00,20.05,3899,20.05,20.05,20.05
2019-04-16 10:44:00,20.05,9954,20.05,20.05,20.05
2019-04-16 10:43:00,20.04,920,20.04,20.04,20.04
2019-04-16 10:42:00,20.04,7229,20.04,20.04,20.05
2019-04-16 10:40:00,20.04,3861,20.03,20.03,20.04
2019-04-16 10:38:00,20.04,2508,20.04,20.04,20.04
2019-04-16 10:37:00,20.04,580,20.04,20.04,20.04
2019-04-16 10:36:00,20.04,104,20.04,20.04,20.04
2019-04-16 10:35:00,20.04,11379,20.04,20.04,20.04
2019-04-16 10:33:00,20.05,19453,20.05,20.05,20.05
2019-04-16 10:32:00,20.04,428,20.05,20.04,20.05
2019-04-16 10:31:00,20.04,5,20.04,20.04,20.04
2019-04-16 10:30:00,20.04,102,20.04,20.04,20.04
2019-04-16 10:29:00,20.04,15034,20.04,20.04,20.04
2019-04-16 10:28:00,20.04,10904,20.04,20.04,20.05
2019-04-16 10:27:00,20.03,43,20.03,20.03,20.03
2019-04-16 10:26:00,20.03,20000,20.03,20.03,20.03
2019-04-16 10:25:00,20.03,16170,20.04,20.03,20.04
2019-04-16 10:24:00,20.04,15824,20.04,20.04,20.04
2019-04-16 10:23:00,20.04,3000,20.05,20.04,20.05
2019-04-16 10:21:00,20.04,2147,20.04,20.04,20.04
2019-04-16 10:20:00,20.04,8195,20.05,20.04,20.05
2019-04-16 10:19:00,20.04,678,20.04,20.04,20.04
2019-04-16 10:18:00,20.04,6247,20.04,20.04,20.04
2019-04-16 10:17:00,20.03,6110,20.03,20.03,20.03
2019-04-16 10:16:00,20.02,8143,20.02,20.02,20.02
2019-04-16 10:15:00,20.02,684,20.02,20.02,20.02
2019-04-16 10:14:00,20.01,9191,20.01,20.01,20.01
2019-04-16 10:13:00,20.01,386,20.01,20.01,20.01
2019-04-16 10:12:00,20.01,16729,20.01,20.01,20.02
2019-04-16 10:11:00,20.01,99784,20.00,20.00,20.02
2019-04-16 10:10:00,19.99,24942,19.98,19.98,19.99
2019-04-16 10:09:00,19.98,27571,19.98,19.97,19.98
2019-04-16 10:08:00,19.98,500,19.98,19.98,19.98
2019-04-16 10:07:00,19.98,3975,19.98,19.98,19.98
2019-04-16 10:06:00,19.98,3737,19.98,19.98,19.98
2019-04-16 10:05:00,19.98,9705,19.98,19.98,19.98
2019-04-16 10:04:00,19.97,750,19.97,19.97,19.97
2019-04-16 10:03:00,19.97,7697,19.97,19.97,19.97
2019-04-16 10:02:00,19.97,11240,19.98,19.97,19.98
2019-04-16 10:01:00,19.98,2073,19.98,19.98,19.98
2019-04-16 10:00:00,19.98,6011,19.98,19.98,19.98
2019-04-16 09:59:00,19.97,2815,19.97,19.97,19.97
2019-04-16 09:58:00,19.97,750,19.97,19.97,19.97
2019-04-16 09:57:00,19.96,9672,19.95,19.94,19.96
2019-04-16 09:56:00,19.95,8305,19.95,19.95,19.96
2019-04-16 09:55:00,19.96,500,19.96,19.96,19.96
2019-04-16 09:54:00,19.95,5906,19.96,19.95,19.96
2019-04-16 09:53:00,19.97,5767,19.96,19.96,19.97
2019-04-16 09:52:00,19.96,11540,19.96,19.96,19.96
2019-04-16 09:51:00,19.96,4972,19.96,19.96,19.96
2019-04-16 09:50:00,19.96,4029,19.95,19.95,19.96
2019-04-16 09:49:00,19.95,7038,19.95,19.95,19.96
2019-04-16 09:48:00,19.95,6008,19.95,19.94,19.95
2019-04-16 09:47:00,19.96,1412,19.96,19.96,19.96
2019-04-16 09:46:00,19.96,1451,19.96,19.96,19.96
2019-04-16 09:45:00,19.96,3271,19.95,19.95,19.96
2019-04-16 09:44:00,19.96,3192,19.97,19.96,19.97
2019-04-16 09:43:00,19.97,14776,19.97,19.97,19.97
2019-04-16 09:42:00,19.96,3571,19.96,19.96,19.96
2019-04-16 09:41:00,19.96,3002,19.95,19.95,19.96
2019-04-16 09:40:00,19.95,3840,19.95,19.95,19.95
2019-04-16 09:39:00,19.95,491,19.95,19.95,19.95
2019-04-16 09:38:00,19.95,4718,19.95,19.95,19.95
2019-04-16 09:37:00,19.96,1908,19.96,19.96,19.96
2019-04-16 09:36:00,19.97,5061,19.97,19.97,19.97
2019-04-16 09:35:00,19.97,6083,19.97,19.97,19.97
2019-04-16 09:34:00,19.97,9513,19.98,19.97,19.98
2019-04-16 09:33:00,19.97,28063,19.97,19.97,19.98
2019-04-16 09:32:00,19.96,4226,19.97,19.96,19.97
2019-04-16 09:31:00,19.96,3024,19.96,19.96,19.96
2019-04-16 09:30:00,19.96,4965,19.97,19.96,19.97
2019-04-16 09:29:00,19.97,11287,19.96,19.96,19.97
2019-04-16 09:28:00,19.95,5999,19.97,19.95,19.97
2019-04-16 09:27:00,19.97,20716,19.98,19.97,19.98
2019-04-16 09:26:00,19.98,23474,19.94,19.94,19.98
2019-04-16 09:25:00,19.94,4006,19.94,19.94,19.94
2019-04-16 09:24:00,19.94,4091,19.95,19.94,19.95
2019-04-16 09:23:00,19.94,2493,19.94,19.94,19.94
2019-04-16 09:22:00,19.93,6427,19.92,19.92,19.93
2019-04-16 09:21:00,19.92,5688,19.91,19.90,19.92
2019-04-16 09:20:00,19.91,12270,19.91,19.91,19.91
2019-04-16 09:19:00,19.92,200,19.92,19.92,19.92
2019-04-16 09:18:00,19.91,6201,19.91,19.91,19.91
2019-04-16 09:17:00,19.91,32505,19.91,19.90,19.92
2019-04-16 09:16:00,19.92,14411,19.91,19.90,19.92
2019-04-16 09:15:00,19.92,2556,19.94,19.92,19.94
2019-04-16 09:14:00,19.94,8587,19.96,19.94,19.96
2019-04-16 09:13:00,19.95,10520,19.95,19.95,19.95
2019-04-16 09:12:00,19.96,14158,19.95,19.95,19.96
2019-04-16 09:11:00,19.95,18522,19.93,19.93,19.95
2019-04-16 09:10:00,19.93,9563,19.94,19.93,19.94
2019-04-16 09:09:00,19.94,3504,19.94,19.94,19.94
2019-04-16 09:08:00,19.94,11029,19.95,19.93,19.95
2019-04-16 09:07:00,19.95,23419,19.93,19.93,19.95
2019-04-16 09:06:00,19.92,6088,19.93,19.92,19.93
2019-04-16 09:05:00,19.92,6266,19.92,19.91,19.92
2019-04-16 09:04:00,19.92,24737,19.89,19.88,19.92
2019-04-16 09:03:00,19.89,11869,19.91,19.89,19.91
2019-04-16 09:02:00,19.92,100783,19.87,19.85,19.92
2019-04-16 09:01:00,19.87,48550,19.91,19.86,19.91
2019-04-15 17:31:00,19.82,1407280,19.82,19.82,19.82
2019-04-15 17:20:00,19.86,1012,19.85,19.85,19.86
2019-04-15 17:19:00,19.86,9207,19.87,19.86,19.87
2019-04-15 17:18:00,19.87,6926,19.87,19.87,19.87
2019-04-15 17:17:00,19.86,2135,19.86,19.86,19.86
2019-04-15 17:16:00,19.86,44068,19.85,19.85,19.87
2019-04-15 17:15:00,19.85,9207,19.86,19.85,19.86
2019-04-15 17:14:00,19.85,6338,19.85,19.85,19.85
2019-04-15 17:13:00,19.84,2056,19.85,19.84,19.85
2019-04-15 17:12:00,19.84,17767,19.84,19.84,19.84
2019-04-15 17:11:00,19.84,5605,19.84,19.84,19.84
2019-04-15 17:10:00,19.84,3002,19.84,19.84,19.84
2019-04-15 17:09:00,19.85,6609,19.85,19.85,19.85
2019-04-15 17:08:00,19.85,2137,19.84,19.84,19.85
2019-04-15 17:07:00,19.84,5261,19.83,19.83,19.84
2019-04-15 17:06:00,19.83,1062,19.83,19.83,19.83
2019-04-15 17:05:00,19.83,3400,19.83,19.83,19.83
2019-04-15 17:04:00,19.83,27699,19.82,19.82,19.83
