date,close,open,low,high
27-Jun-2001,16.2648,16.2648,16.2648,16.2648
28-Jun-2001,16.3135,16.3135,16.3135,16.3135
29-Jun-2001,15.3000,15.3000,15.3000,15.3000
02-Jul-2001,14.9254,14.9254,14.9254,14.9254
03-Jul-2001,15.2380,15.2380,15.2380,15.2380
04-Jul-2001,15.5022,15.5022,15.5022,15.5022
05-Jul-2001,15.8468,15.8468,15.8468,15.8468
06-Jul-2001,17.2038,17.2038,17.2038,17.2038
09-Jul-2001,17.7768,17.7768,17.7768,17.7768
10-Jul-2001,17.9319,17.9319,17.9319,17.9319
11-Jul-2001,18.7564,18.7564,18.7564,18.7564
12-Jul-2001,18.3740,18.3740,18.3740,18.3740
13-Jul-2001,18.3406,18.3406,18.3406,18.3406
16-Jul-2001,18.8209,18.8209,18.8209,18.8209
17-Jul-2001,19.1850,19.1850,19.1850,19.1850
18-Jul-2001,19.9555,19.9555,19.9555,19.9555
19-Jul-2001,19.1687,19.1687,19.1687,19.1687
20-Jul-2001,19.0666,19.0666,19.0666,19.0666
23-Jul-2001,18.8890,18.8890,18.8890,18.8890
24-Jul-2001,19.4554,19.4554,19.4554,19.4554
25-Jul-2001,20.3440,20.3440,20.3440,20.3440
26-Jul-2001,19.6182,19.6182,19.6182,19.6182
27-Jul-2001,17.9717,17.9717,17.9717,17.9717
30-Jul-2001,17.7590,17.7590,17.7590,17.7590
31-Jul-2001,17.1483,17.1483,17.1483,17.1483
01-Aug-2001,16.6662,16.6662,16.6662,16.6662
02-Aug-2001,16.8401,16.8401,16.8401,16.8401
03-Aug-2001,17.0618,17.0618,17.0618,17.0618
06-Aug-2001,16.7480,16.7480,16.7480,16.7480
07-Aug-2001,16.9379,16.9379,16.9379,16.9379
08-Aug-2001,16.7560,16.7560,16.7560,16.7560
09-Aug-2001,17.8454,17.8454,17.8454,17.8454
10-Aug-2001,18.2852,18.2852,18.2852,18.2852
13-Aug-2001,18.1303,18.1303,18.1303,18.1303
14-Aug-2001,17.4898,17.4898,17.4898,17.4898
15-Aug-2001,17.7159,17.7159,17.7159,17.7159
16-Aug-2001,19.6600,19.6600,19.6600,19.6600
17-Aug-2001,20.2644,20.2644,20.2644,20.2644
20-Aug-2001,20.1750,20.1750,20.1750,20.1750
21-Aug-2001,18.6060,18.6060,18.6060,18.6060
22-Aug-2001,19.1072,19.1072,19.1072,19.1072
23-Aug-2001,18.7866,18.7866,18.7866,18.7866
24-Aug-2001,17.5233,17.5233,17.5233,17.5233
27-Aug-2001,18.1022,18.1022,18.1022,18.1022
28-Aug-2001,19.1641,19.1641,19.1641,19.1641
29-Aug-2001,19.3209,19.3209,19.3209,19.3209
30-Aug-2001,19.8682,19.8682,19.8682,19.8682
31-Aug-2001,19.7238,19.7238,19.7238,19.7238
03-Sep-2001,20.2382,20.2382,20.2382,20.2382
04-Sep-2001,19.9962,19.9962,19.9962,19.9962
05-Sep-2001,20.4529,20.4529,20.4529,20.4529
06-Sep-2001,21.3596,21.3596,21.3596,21.3596
07-Sep-2001,24.9677,24.9677,24.9677,24.9677
10-Sep-2001,27.6256,27.6256,27.6256,27.6256
11-Sep-2001,36.6961,36.6961,36.6961,36.6961
12-Sep-2001,35.1076,35.1076,35.1076,35.1076
13-Sep-2001,32.2618,32.2618,32.2618,32.2618
14-Sep-2001,33.7807,33.7807,33.7807,33.7807
17-Sep-2001,38.4782,38.4782,38.4782,38.4782
18-Sep-2001,39.8924,39.8924,39.8924,39.8924
19-Sep-2001,36.3462,36.3462,36.3462,36.3462
20-Sep-2001,41.0580,41.0580,41.0580,41.0580
21-Sep-2001,43.8233,43.8233,43.8233,43.8233
24-Sep-2001,39.1393,39.1393,39.1393,39.1393
25-Sep-2001,38.8173,38.8173,38.8173,38.8173
26-Sep-2001,38.5477,38.5477,38.5477,38.5477
27-Sep-2001,36.9566,36.9566,36.9566,36.9566
28-Sep-2001,35.2934,35.2934,35.2934,35.2934
01-Oct-2001,37.3562,37.3562,37.3562,37.3562
02-Oct-2001,36.8837,36.8837,36.8837,36.8837
03-Oct-2001,35.8252,35.8252,35.8252,35.8252
04-Oct-2001,33.9301,33.9301,33.9301,33.9301
05-Oct-2001,34.2858,34.2858,34.2858,34.2858
08-Oct-2001,37.1254,37.1254,37.1254,37.1254
09-Oct-2001,35.8976,35.8976,35.8976,35.8976
10-Oct-2001,33.1740,33.1740,33.1740,33.1740
11-Oct-2001,32.0235,32.0235,32.0235,32.0235
12-Oct-2001,32.3978,32.3978,32.3978,32.3978
15-Oct-2001,34.5989,34.5989,34.5989,34.5989
16-Oct-2001,33.5709,33.5709,33.5709,33.5709
17-Oct-2001,31.9842,31.9842,31.9842,31.9842
18-Oct-2001,35.5971,35.5971,35.5971,35.5971
19-Oct-2001,35.3374,35.3374,35.3374,35.3374
22-Oct-2001,32.5123,32.5123,32.5123,32.5123
23-Oct-2001,30.3397,30.3397,30.3397,30.3397
24-Oct-2001,29.9075,29.9075,29.9075,29.9075
25-Oct-2001,31.0325,31.0325,31.0325,31.0325
26-Oct-2001,29.1006,29.1006,29.1006,29.1006
29-Oct-2001,30.2470,30.2470,30.2470,30.2470
30-Oct-2001,32.5418,32.5418,32.5418,32.5418
31-Oct-2001,31.2936,31.2936,31.2936,31.2936
01-Nov-2001,30.7174,30.7174,30.7174,30.7174
02-Nov-2001,30.2987,30.2987,30.2987,30.2987
05-Nov-2001,28.9436,28.9436,28.9436,28.9436
06-Nov-2001,29.0312,29.0312,29.0312,29.0312
07-Nov-2001,28.6563,28.6563,28.6563,28.6563
08-Nov-2001,26.5324,26.5324,26.5324,26.5324
09-Nov-2001,26.4948,26.4948,26.4948,26.4948
12-Nov-2001,31.1427,31.1427,31.1427,31.1427
13-Nov-2001,27.1218,27.1218,27.1218,27.1218
14-Nov-2001,26.8300,26.8300,26.8300,26.8300
15-Nov-2001,27.0863,27.0863,27.0863,27.0863
16-Nov-2001,25.1673,25.1673,25.1673,25.1673
19-Nov-2001,24.8879,24.8879,24.8879,24.8879
20-Nov-2001,23.8390,23.8390,23.8390,23.8390
21-Nov-2001,23.6548,23.6548,23.6548,23.6548
22-Nov-2001,21.6391,21.6391,21.6391,21.6391
23-Nov-2001,21.0862,21.0862,21.0862,21.0862
26-Nov-2001,21.5654,21.5654,21.5654,21.5654
27-Nov-2001,22.0543,22.0543,22.0543,22.0543
28-Nov-2001,24.2082,24.2082,24.2082,24.2082
29-Nov-2001,24.3609,24.3609,24.3609,24.3609
30-Nov-2001,24.2836,24.2836,24.2836,24.2836
03-Dec-2001,24.8230,24.8230,24.8230,24.8230
04-Dec-2001,23.9524,23.9524,23.9524,23.9524
05-Dec-2001,22.2251,22.2251,22.2251,22.2251
06-Dec-2001,22.8950,22.8950,22.8950,22.8950
07-Dec-2001,22.8262,22.8262,22.8262,22.8262
10-Dec-2001,24.1079,24.1079,24.1079,24.1079
11-Dec-2001,24.3427,24.3427,24.3427,24.3427
